,Unnamed: 0,al.mode,al.op,al.op.rate,al.op.tsp,al.pv,al.pv.rate,al.pv.tsp,as.mode,as.op,as.op.rate,as.op.tsp,as.pv,as.pv.rate,as.pv.tsp,ascracker.mode,ascracker.op,ascracker.op.rate,ascracker.op.tsp,ascracker.pv,ascracker.pv.rate,ascracker.pv.tsp,ascracker.valve.op,ga.mode,ga.op,ga.op.rate,ga.op.tsp,ga.pv,ga.pv.rate,ga.pv.tsp,in.mode,in.op,in.op.rate,in.op.tsp,in.pv,in.pv.rate,in.pv.tsp,manip.mode,manip.op,manip.op.rate,manip.pv,manip.pv.rate,manip.pv.tsp,manip.rs.rpm,mbe.p,pyrometer.t,sb.mode,sb.op,sb.op.rate,sb.op.tsp,sb.pv,sb.pv.rate,sb.pv.tsp,sbcond.mode,sbcond.op,sbcond.op.rate,sbcond.op.tsp,sbcond.pv,sbcond.pv.rate,sbcond.pv.tsp,sbcracker.mode,sbcracker.op,sbcracker.op.rate,sbcracker.op.tsp,sbcracker.pv,sbcracker.pv.rate,sbcracker.pv.tsp,shutter.al,shutter.as,shutter.ga,shutter.in,shutter.pyrometer,shutter.sb,shutter.suko,shutter.susi,suko.mode,suko.op,suko.op.rate,suko.op.tsp,suko.pv,suko.pv.rate,suko.pv.tsp,susi.mode,susi.op,susi.op.rate,susi.op.tsp,susi.pv,susi.pv.rate,susi.pv.tsp,this.recipesrunning,time,TimeInMin,time_in_min
21,21,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,22,0.366666667,0.366666667
22,22,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,23,0.383333333,0.383333333
23,23,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,24,0.4,0.4
24,24,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,25,0.416666667,0.416666667
25,25,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,26,0.433333333,0.433333333
26,26,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,27,0.45,0.45
27,27,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,28,0.466666667,0.466666667
28,28,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,29,0.483333333,0.483333333
29,29,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,30,0.5,0.5
30,30,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,31,0.516666667,0.516666667
31,31,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,32,0.533333333,0.533333333
