As	BFM.P	MBE.P	BFM.P_STD	MBE.P_STD
5	7.835518E-11	9.000000E-11	3.352560E-12	2.584939E-26
10	1.718264E-07	4.340000E-10	3.491443E-09	3.115552E-11
15	2.812216E-07	1.130000E-09	4.216395E-09	4.582576E-11
20	4.156558E-07	2.153333E-09	7.317289E-09	4.988877E-11
25	7.131190E-07	3.903333E-09	1.943414E-08	7.520343E-11
30	1.528173E-06	8.270000E-09	4.290394E-08	2.035518E-10
33	2.176142E-06	1.206667E-08	2.106304E-08	2.494438E-10
34	2.391553E-06	1.433333E-08	1.856247E-08	4.714045E-10
35	2.556743E-06	1.620000E-08	2.474611E-08	4.000000E-10
40	3.448952E-06	2.376667E-08	3.338153E-08	8.439326E-10
45	4.259322E-06	3.123333E-08	2.422174E-08	1.725946E-09
50	5.008067E-06	3.986667E-08	2.047817E-08	2.061283E-09
60	6.596911E-06	5.730000E-08	3.751535E-08	3.338163E-09
100	1.090654E-05	1.048000E-07	1.055605E-07	5.752681E-09
