As	BFM.P	MBE.P	BFM.P_STD	MBE.P_STD
10	3.129349E-07	8.706667E-10	7.371545E-09	6.350503E-11
15	4.564832E-07	2.103333E-09	9.360146E-09	1.795055E-11
20	6.855319E-07	3.716667E-09	7.715060E-09	3.726780E-11
25	1.169549E-06	7.220000E-09	1.069800E-08	1.536229E-10
30	2.133096E-06	1.450000E-08	1.459950E-08	6.708204E-10
35	3.157479E-06	2.470000E-08	1.795596E-08	5.259911E-10
40	4.052166E-06	3.533333E-08	3.922166E-08	7.888106E-10
45	4.901678E-06	4.700000E-08	3.559271E-08	1.414214E-09
50	5.750036E-06	5.863333E-08	2.351325E-08	2.258072E-09
60	7.401851E-06	8.036667E-08	4.209065E-08	3.683145E-09
80	1.022518E-05	1.150000E-07	4.181401E-08	6.708204E-09
100	1.200440E-05	1.430000E-07	6.826280E-08	7.371115E-09
