As	BFM.P	MBE.P
0	2.138107E-09	5.733333E-10
10	3.767277E-07	1.516667E-09
20	6.441844E-07	3.743333E-09
30	1.901157E-06	1.220000E-08
35	2.683412E-06	2.146667E-08
40	3.537427E-06	3.066667E-08
50	5.078115E-06	4.843333E-08
60	6.724921E-06	6.936667E-08
70	8.109800E-06	8.910000E-08
80	9.311295E-06	1.038667E-07
90	1.041567E-05	1.213333E-07
100	1.094814E-05	1.306667E-07
