As	BFM.P	MBE.P
10	3.446444E-07	5.953333E-10
20	6.114487E-07	1.840000E-09
25	1.027357E-06	4.300000E-09
30	1.857881E-06	9.823333E-09
33	2.289211E-06	1.333333E-08
35	2.626276E-06	1.730000E-08
36	2.748007E-06	1.933333E-08
38	3.087949E-06	2.240000E-08
40	3.378217E-06	2.516667E-08
60	6.290426E-06	5.110000E-08
70	7.580022E-06	6.910000E-08
80	8.696420E-06	8.480000E-08
85	9.290052E-06	9.433333E-08
100	1.022518E-05	1.056333E-07
