As	BFM.P	MBE.P	BFM.P_STD	MBE.P_STD
10	2.438204E-07	5.236667E-10	4.374754E-09	3.591502E-11
15	3.370446E-07	1.190000E-09	3.262318E-09	4.725816E-11
20	5.000994E-07	2.280000E-09	8.069633E-09	5.416026E-11
25	8.844882E-07	4.503333E-09	9.563289E-09	9.480975E-11
30	1.653290E-06	9.416667E-09	1.407828E-08	1.881193E-10
31	1.857849E-06	1.200000E-08	1.271550E-08	0.000000E+00
32	1.993784E-06	1.353333E-08	1.439918E-08	4.988877E-10
33	2.176142E-06	1.550000E-08	2.106304E-08	5.000000E-10
34	2.335335E-06	1.713333E-08	1.988610E-08	3.399346E-10
35	2.449163E-06	1.860000E-08	2.191292E-08	4.898979E-10
40	3.226173E-06	2.480000E-08	3.119981E-08	1.077033E-09
45	4.045984E-06	3.480000E-08	4.249560E-08	9.451631E-10
50	4.760878E-06	4.203333E-08	4.607942E-08	2.089391E-09
60	6.137879E-06	5.766667E-08	5.614000E-08	3.329998E-09
100	9.984824E-06	1.016000E-07	5.678165E-08	6.290734E-09
