As	BFM.P	MBE.P
0	1.125523E-10	7.200000E-11
10	2.043649E-07	4.620000E-10
20	3.941781E-07	1.500000E-09
30	1.496887E-06	6.436667E-09
40	3.052885E-06	1.536667E-08
50	4.433021E-06	2.660000E-08
60	5.857161E-06	3.946667E-08
70	7.079456E-06	5.216667E-08
80	8.248215E-06	6.600000E-08
90	9.113189E-06	7.530000E-08
100	9.757538E-06	8.253333E-08
