As	BFM.P	MBE.P
5	4.148818E-10	1.000000E-10
10	1.966601E-07	5.473333E-10
15	2.576701E-07	1.120000E-09
20	4.034834E-07	2.153333E-09
25	7.977888E-07	4.266667E-09
30	1.617002E-06	8.490000E-09
35	2.386093E-06	1.400000E-08
40	3.218751E-06	2.030000E-08
45	3.972009E-06	2.790000E-08
50	4.641861E-06	3.563333E-08
60	5.993594E-06	4.883333E-08
70	7.227871E-06	6.343333E-08
80	8.305017E-06	7.730000E-08
90	9.282971E-06	9.050000E-08
100	9.946886E-06	9.993333E-08
