As	BFM.P	MBE.P
0	7.284501E-10	3.190000E-10
10	2.296366E-07	1.096667E-09
20	4.192316E-07	2.823333E-09
30	1.565465E-06	1.026667E-08
40	3.289222E-06	2.486667E-08
50	4.936077E-06	4.280000E-08
60	6.673624E-06	6.560000E-08
70	8.109800E-06	8.550000E-08
80	9.477463E-06	1.030000E-07
90	1.045540E-05	1.160000E-07
100	1.118633E-05	1.266667E-07
